购物水果[SEP]黑龙江省绥化市[SEP]最近有点上火，想吃点水果	橙子功效
生活做菜酸菜鱼[SEP]陕西省榆林市[SEP]今天来客人，你教教我酸菜鱼怎么做吧？[SEP]酸菜鱼[SEP]我做好了，然后呢？[SEP]酸菜鱼菜谱[SEP]嗯嗯，我照做了，然后呢？[SEP]酸菜鱼[SEP]OK。马上出锅。[SEP]不检索[SEP]嗯嗯，正要尝尝呢。	不检索
购物零食[SEP]香港特别行政区东区[SEP]我好久没有吃辣条了。	不检索
购物零食[SEP]香港特别行政区东区[SEP]我好久没有吃辣条了。[SEP]不检索[SEP]我也想去买一点，不知到有没有我喜欢的卫龙辣条。	买零食辣条最便宜的网站
购物零食[SEP]香港特别行政区东区[SEP]我好久没有吃辣条了。[SEP]不检索[SEP]我也想去买一点，不知到有没有我喜欢的卫龙辣条。[SEP]买零食辣条最便宜的网站[SEP]我不喜欢用这个APP，还要重新下载，没意思。有别的平台吗？	不检索
购物零食[SEP]香港特别行政区东区[SEP]我好久没有吃辣条了。[SEP]不检索[SEP]我也想去买一点，不知到有没有我喜欢的卫龙辣条。[SEP]买零食辣条最便宜的网站[SEP]我不喜欢用这个APP，还要重新下载，没意思。有别的平台吗？[SEP]不检索[SEP]那还好一点吧，那卫龙辣条的价格是多少。	卫龙辣条的价格
购物零食[SEP]香港特别行政区东区[SEP]我好久没有吃辣条了。[SEP]不检索[SEP]我也想去买一点，不知到有没有我喜欢的卫龙辣条。[SEP]买零食辣条最便宜的网站[SEP]我不喜欢用这个APP，还要重新下载，没意思。有别的平台吗？[SEP]不检索[SEP]那还好一点吧，那卫龙辣条的价格是多少。[SEP]卫龙辣条的价格[SEP]那我现在去看看吧。	不检索
生活节日中秋节[SEP]山东省威海市[SEP]马上就要八月十五了，我还没买月饼呢。	什么月饼好吃
生活节日中秋节[SEP]山东省威海市[SEP]马上就要八月十五了，我还没买月饼呢。[SEP]什么月饼好吃[SEP]是呢，我很爱吃这个陷的月饼，我想着自己也可以尝试做一下。	莲蓉蛋黄月饼怎么做？
生活节日中秋节[SEP]山东省威海市[SEP]马上就要八月十五了，我还没买月饼呢。[SEP]什么月饼好吃[SEP]是呢，我很爱吃这个陷的月饼，我想着自己也可以尝试做一下。[SEP]莲蓉蛋黄月饼怎么做？[SEP]枧水是什么东西，这是我第一次听说哎。	枧水是什么
生活节日中秋节[SEP]山东省威海市[SEP]马上就要八月十五了，我还没买月饼呢。[SEP]什么月饼好吃[SEP]是呢，我很爱吃这个陷的月饼，我想着自己也可以尝试做一下。[SEP]莲蓉蛋黄月饼怎么做？[SEP]枧水是什么东西，这是我第一次听说哎。[SEP]枧水是什么[SEP]那我就懂了。月饼是中秋的必备食品，而中秋吃月饼的习俗，据说是由什么时候流传下来的？	不检索
生活节日中秋节[SEP]山东省威海市[SEP]马上就要八月十五了，我还没买月饼呢。[SEP]什么月饼好吃[SEP]是呢，我很爱吃这个陷的月饼，我想着自己也可以尝试做一下。[SEP]莲蓉蛋黄月饼怎么做？[SEP]枧水是什么东西，这是我第一次听说哎。[SEP]枧水是什么[SEP]那我就懂了。月饼是中秋的必备食品，而中秋吃月饼的习俗，据说是由什么时候流传下来的？[SEP]不检索[SEP]中秋佳节，除了吃月饼，你家还有其他庆祝方式嘛？	不检索
泛娱乐电影[SEP]海南省三沙市[SEP]好久没看电影了，下班了咱俩去看电影吧。	三沙市电影院
泛娱乐电影[SEP]海南省三沙市[SEP]好久没看电影了，下班了咱俩去看电影吧。[SEP]三沙市电影院[SEP]我在纠结《四海》、《长津湖2》看哪个？	电影四海
泛娱乐电影[SEP]海南省三沙市[SEP]好久没看电影了，下班了咱俩去看电影吧。[SEP]三沙市电影院[SEP]我在纠结《四海》、《长津湖2》看哪个？[SEP]电影四海[SEP]这样啊，那算了，要不去看长津湖吧。	长津湖2决战水门桥
泛娱乐电影[SEP]海南省三沙市[SEP]好久没看电影了，下班了咱俩去看电影吧。[SEP]三沙市电影院[SEP]我在纠结《四海》、《长津湖2》看哪个？[SEP]电影四海[SEP]这样啊，那算了，要不去看长津湖吧。[SEP]长津湖2决战水门桥[SEP]那就看这个吧，我要去接受爱国主义教育。	不检索
泛娱乐电影[SEP]海南省三沙市[SEP]好久没看电影了，下班了咱俩去看电影吧。[SEP]三沙市电影院[SEP]我在纠结《四海》、《长津湖2》看哪个？[SEP]电影四海[SEP]这样啊，那算了，要不去看长津湖吧。[SEP]长津湖2决战水门桥[SEP]那就看这个吧，我要去接受爱国主义教育。[SEP]不检索[SEP]咋，你群众，但你是中国人，也要好好学习。	不检索
购物化妆品[SEP]湖南省常德市[SEP]我要去军训了，是不是得买一瓶防晒霜备用啊。	不检索
购物化妆品[SEP]湖南省常德市[SEP]我要去军训了，是不是得买一瓶防晒霜备用啊。[SEP]不检索[SEP]那我要买什么样的防晒霜啊？	军训防晒霜推荐
购物化妆品[SEP]湖南省常德市[SEP]我要去军训了，是不是得买一瓶防晒霜备用啊。[SEP]不检索[SEP]那我要买什么样的防晒霜啊？[SEP]军训防晒霜推荐[SEP]那我两种都买来试试吧，感觉一瓶可能不够用。	不检索
购物化妆品[SEP]湖南省常德市[SEP]我要去军训了，是不是得买一瓶防晒霜备用啊。[SEP]不检索[SEP]那我要买什么样的防晒霜啊？[SEP]军训防晒霜推荐[SEP]那我两种都买来试试吧，感觉一瓶可能不够用。[SEP]不检索[SEP]我也希望不用接触阳光，不过这可不是我能决定的了。	不检索
购物化妆品[SEP]湖南省常德市[SEP]我要去军训了，是不是得买一瓶防晒霜备用啊。[SEP]不检索[SEP]那我要买什么样的防晒霜啊？[SEP]军训防晒霜推荐[SEP]那我两种都买来试试吧，感觉一瓶可能不够用。[SEP]不检索[SEP]我也希望不用接触阳光，不过这可不是我能决定的了。[SEP]不检索[SEP]嗯嗯，希望回来之后我不会变得特别黑。	不检索
购物化妆品[SEP]辽宁省葫芦岛市[SEP]最近脸有点干，有推荐的化妆品吗？	干皮的护肤品
购物化妆品[SEP]辽宁省葫芦岛市[SEP]最近脸有点干，有推荐的化妆品吗？[SEP]干皮的护肤品[SEP]这个价格怎么样？	不检索
购物化妆品[SEP]辽宁省葫芦岛市[SEP]最近脸有点干，有推荐的化妆品吗？[SEP]干皮的护肤品[SEP]这个价格怎么样？[SEP]不检索[SEP]300多一瓶啊。我买不起啊，有没有适合干性肌肤的平价护肤品？	干性肌肤的平价护肤品
购物化妆品[SEP]辽宁省葫芦岛市[SEP]最近脸有点干，有推荐的化妆品吗？[SEP]干皮的护肤品[SEP]这个价格怎么样？[SEP]不检索[SEP]300多一瓶啊。我买不起啊，有没有适合干性肌肤的平价护肤品？[SEP]干性肌肤的平价护肤品[SEP]这个牌子我好像听说过，是个外国牌子吧。	不检索
购物化妆品[SEP]辽宁省葫芦岛市[SEP]最近脸有点干，有推荐的化妆品吗？[SEP]干皮的护肤品[SEP]这个价格怎么样？[SEP]不检索[SEP]300多一瓶啊。我买不起啊，有没有适合干性肌肤的平价护肤品？[SEP]干性肌肤的平价护肤品[SEP]这个牌子我好像听说过，是个外国牌子吧。[SEP]不检索[SEP]韩国的啊，那我不想要了，我要支持国货。	不检索
泛娱乐电视[SEP]香港特别行政区元朗区[SEP]今天天气不是很好啊	香港特别行政区天气
泛娱乐电视[SEP]香港特别行政区元朗区[SEP]今天天气不是很好啊[SEP]香港特别行政区天气[SEP]那就不出去了	不检索
泛娱乐电视[SEP]香港特别行政区元朗区[SEP]今天天气不是很好啊[SEP]香港特别行政区天气[SEP]那就不出去了[SEP]不检索[SEP]准备看看电视剧吧	不检索
泛娱乐电视[SEP]香港特别行政区元朗区[SEP]今天天气不是很好啊[SEP]香港特别行政区天气[SEP]那就不出去了[SEP]不检索[SEP]准备看看电视剧吧[SEP]不检索[SEP]你有什么推荐的电视剧吗	胡歌的仙剑奇侠传
泛娱乐电视[SEP]香港特别行政区元朗区[SEP]今天天气不是很好啊[SEP]香港特别行政区天气[SEP]那就不出去了[SEP]不检索[SEP]准备看看电视剧吧[SEP]不检索[SEP]你有什么推荐的电视剧吗[SEP]胡歌的仙剑奇侠传[SEP]好的，我去看看去	仙剑奇侠传
本地生活交通去三亚[SEP]海南省昌江黎族自治县[SEP]这个周末开始放假啦！	不检索
本地生活交通去三亚[SEP]海南省昌江黎族自治县[SEP]这个周末开始放假啦！[SEP]不检索[SEP]想去三亚玩一玩，不知道开车去方便不方便？	昌江三亚海南环岛
本地生活交通去三亚[SEP]海南省昌江黎族自治县[SEP]这个周末开始放假啦！[SEP]不检索[SEP]想去三亚玩一玩，不知道开车去方便不方便？[SEP]昌江三亚海南环岛[SEP]你还真是什么都知道啊！那具体的路线呢？	不检索
本地生活交通去三亚[SEP]海南省昌江黎族自治县[SEP]这个周末开始放假啦！[SEP]不检索[SEP]想去三亚玩一玩，不知道开车去方便不方便？[SEP]昌江三亚海南环岛[SEP]你还真是什么都知道啊！那具体的路线呢？[SEP]不检索[SEP]那我就自驾过去吧，这样在三亚的交通也方便一些。不知道周末三亚的天气怎么样？	三亚周末天气
本地生活交通去三亚[SEP]海南省昌江黎族自治县[SEP]这个周末开始放假啦！[SEP]不检索[SEP]想去三亚玩一玩，不知道开车去方便不方便？[SEP]昌江三亚海南环岛[SEP]你还真是什么都知道啊！那具体的路线呢？[SEP]不检索[SEP]那我就自驾过去吧，这样在三亚的交通也方便一些。不知道周末三亚的天气怎么样？[SEP]三亚周末天气[SEP]那太好了，我现在就去订酒店和门票！	不检索
生活护肤青春痘[SEP]贵州省铜仁市[SEP]我最近脸上经常出痘痘	不检索
生活护肤青春痘[SEP]贵州省铜仁市[SEP]我最近脸上经常出痘痘[SEP]不检索[SEP]我问过医生了，应该是青春痘，有没有什么注意事项呀？	青春痘的注意事项
生活护肤青春痘[SEP]贵州省铜仁市[SEP]我最近脸上经常出痘痘[SEP]不检索[SEP]我问过医生了，应该是青春痘，有没有什么注意事项呀？[SEP]青春痘的注意事项[SEP]嗯嗯，我就是熬夜熬得太厉害了	不检索
生活护肤青春痘[SEP]贵州省铜仁市[SEP]我最近脸上经常出痘痘[SEP]不检索[SEP]我问过医生了，应该是青春痘，有没有什么注意事项呀？[SEP]青春痘的注意事项[SEP]嗯嗯，我就是熬夜熬得太厉害了[SEP]不检索[SEP]我一般晚上十一点半左右才会睡	熬夜的危害
生活护肤青春痘[SEP]贵州省铜仁市[SEP]我最近脸上经常出痘痘[SEP]不检索[SEP]我问过医生了，应该是青春痘，有没有什么注意事项呀？[SEP]青春痘的注意事项[SEP]嗯嗯，我就是熬夜熬得太厉害了[SEP]不检索[SEP]我一般晚上十一点半左右才会睡[SEP]熬夜的危害[SEP]嗯嗯我知道了，我会注意的，争取早睡早起	不检索
财经基金中欧医疗[SEP]广东省深圳市[SEP]我的基金跌到不能再跌了~累了累了~	基金的风险
财经基金中欧医疗[SEP]广东省深圳市[SEP]我的基金跌到不能再跌了~累了累了~[SEP]基金的风险[SEP]是的呀，不过我买的不多，我就是新手，不敢买的太多~买了几百块吧~	新手买基金需要注意什么
财经基金中欧医疗[SEP]广东省深圳市[SEP]我的基金跌到不能再跌了~累了累了~[SEP]基金的风险[SEP]是的呀，不过我买的不多，我就是新手，不敢买的太多~买了几百块吧~[SEP]新手买基金需要注意什么[SEP]是，他们都是这么说的，就是一直的跌让我有点心累~	不检索
财经基金中欧医疗[SEP]广东省深圳市[SEP]我的基金跌到不能再跌了~累了累了~[SEP]基金的风险[SEP]是的呀，不过我买的不多，我就是新手，不敢买的太多~买了几百块吧~[SEP]新手买基金需要注意什么[SEP]是，他们都是这么说的，就是一直的跌让我有点心累~[SEP]不检索[SEP]我买的医疗，中欧医疗，这一只我才买，但是买到现在虽然有涨过两次，但是一下子就跌没了。	中欧医疗基金最近的态势
财经基金中欧医疗[SEP]广东省深圳市[SEP]我的基金跌到不能再跌了~累了累了~[SEP]基金的风险[SEP]是的呀，不过我买的不多，我就是新手，不敢买的太多~买了几百块吧~[SEP]新手买基金需要注意什么[SEP]是，他们都是这么说的，就是一直的跌让我有点心累~[SEP]不检索[SEP]我买的医疗，中欧医疗，这一只我才买，但是买到现在虽然有涨过两次，但是一下子就跌没了。[SEP]中欧医疗基金最近的态势[SEP]哈哈哈是的是的，之前我就看这只基金不错，然后就买了一只哈哈哈，可能还是不会吧~我得好好学习一下~	如何学会购买基金
财经基金中欧医疗[SEP]广东省深圳市[SEP]我的基金跌到不能再跌了~累了累了~[SEP]基金的风险[SEP]是的呀，不过我买的不多，我就是新手，不敢买的太多~买了几百块吧~[SEP]新手买基金需要注意什么[SEP]是，他们都是这么说的，就是一直的跌让我有点心累~[SEP]不检索[SEP]我买的医疗，中欧医疗，这一只我才买，但是买到现在虽然有涨过两次，但是一下子就跌没了。[SEP]中欧医疗基金最近的态势[SEP]哈哈哈是的是的，之前我就看这只基金不错，然后就买了一只哈哈哈，可能还是不会吧~我得好好学习一下~[SEP]如何学会购买基金[SEP]你说的其实也有道理的，对于菜鸟还是得谨慎一点就可以了~	不检索
文化小说人生[SEP]湖北省襄阳市[SEP]回想高中生活，感觉好近，又好遥远啊	不检索
文化小说人生[SEP]湖北省襄阳市[SEP]回想高中生活，感觉好近，又好遥远啊[SEP]不检索[SEP]确实，学的知识没有留下什么印象，只记得看了几部小说	不检索
文化小说人生[SEP]湖北省襄阳市[SEP]回想高中生活，感觉好近，又好遥远啊[SEP]不检索[SEP]确实，学的知识没有留下什么印象，只记得看了几部小说[SEP]不检索[SEP]人生是不是有三部啊	路遥人生
文化小说人生[SEP]湖北省襄阳市[SEP]回想高中生活，感觉好近，又好遥远啊[SEP]不检索[SEP]确实，学的知识没有留下什么印象，只记得看了几部小说[SEP]不检索[SEP]人生是不是有三部啊[SEP]路遥人生[SEP]哦哦时间太久，都记不清了	不检索
文化小说人生[SEP]湖北省襄阳市[SEP]回想高中生活，感觉好近，又好遥远啊[SEP]不检索[SEP]确实，学的知识没有留下什么印象，只记得看了几部小说[SEP]不检索[SEP]人生是不是有三部啊[SEP]路遥人生[SEP]哦哦时间太久，都记不清了[SEP]不检索[SEP]确实，虽然是很多年前的书，但依旧对人生有启迪	不检索
本地生活天气[SEP]海南省东方市[SEP]来海南这里玩，是没有冬天的是吗	海南省东方市天气
本地生活天气[SEP]海南省东方市[SEP]来海南这里玩，是没有冬天的是吗[SEP]海南省东方市天气[SEP]所以海南省最低温度能到多少啊，总感觉热不起来	海南省最低温度
本地生活天气[SEP]海南省东方市[SEP]来海南这里玩，是没有冬天的是吗[SEP]海南省东方市天气[SEP]所以海南省最低温度能到多少啊，总感觉热不起来[SEP]海南省最低温度[SEP]每年过来海南这边就是得时时刻刻穿着短袖涂着厚厚的防晒	防晒
本地生活天气[SEP]海南省东方市[SEP]来海南这里玩，是没有冬天的是吗[SEP]海南省东方市天气[SEP]所以海南省最低温度能到多少啊，总感觉热不起来[SEP]海南省最低温度[SEP]每年过来海南这边就是得时时刻刻穿着短袖涂着厚厚的防晒[SEP]防晒[SEP]想出去买个椰子喝，渴死了	海南椰子
本地生活天气[SEP]海南省东方市[SEP]来海南这里玩，是没有冬天的是吗[SEP]海南省东方市天气[SEP]所以海南省最低温度能到多少啊，总感觉热不起来[SEP]海南省最低温度[SEP]每年过来海南这边就是得时时刻刻穿着短袖涂着厚厚的防晒[SEP]防晒[SEP]想出去买个椰子喝，渴死了[SEP]海南椰子[SEP]哈哈哈你还挺识货，我每次买都尽量买黄金椰的	不检索
泛娱乐电视[SEP]青海省玉树藏族自治州[SEP]你看过《香蜜沉沉烬如霜》么	《香蜜沉沉烬如霜》
泛娱乐电视[SEP]青海省玉树藏族自治州[SEP]你看过《香蜜沉沉烬如霜》么[SEP]《香蜜沉沉烬如霜》[SEP]没错没错，他俩可是合作了好几部戏了	杨紫和邓伦合作电视剧
泛娱乐电视[SEP]青海省玉树藏族自治州[SEP]你看过《香蜜沉沉烬如霜》么[SEP]《香蜜沉沉烬如霜》[SEP]没错没错，他俩可是合作了好几部戏了[SEP]杨紫和邓伦合作电视剧[SEP]还有一部《花非花雾非雾》是好久之前的了	《花非花雾非雾》
泛娱乐电视[SEP]青海省玉树藏族自治州[SEP]你看过《香蜜沉沉烬如霜》么[SEP]《香蜜沉沉烬如霜》[SEP]没错没错，他俩可是合作了好几部戏了[SEP]杨紫和邓伦合作电视剧[SEP]还有一部《花非花雾非雾》是好久之前的了[SEP]《花非花雾非雾》[SEP]是的是的，据说这剧还是去法国拍的	不检索
泛娱乐电视[SEP]青海省玉树藏族自治州[SEP]你看过《香蜜沉沉烬如霜》么[SEP]《香蜜沉沉烬如霜》[SEP]没错没错，他俩可是合作了好几部戏了[SEP]杨紫和邓伦合作电视剧[SEP]还有一部《花非花雾非雾》是好久之前的了[SEP]《花非花雾非雾》[SEP]是的是的，据说这剧还是去法国拍的[SEP]不检索[SEP]哈哈，现在看那个时候的造型。也太丑了	不检索
生活旅行[SEP]广东省茂名市[SEP]嘿宝贝儿，快放假了吧？	不检索
生活旅行[SEP]广东省茂名市[SEP]嘿宝贝儿，快放假了吧？[SEP]不检索[SEP]有推荐的旅行的地方，想就近一点	广州附近旅游景点
生活旅行[SEP]广东省茂名市[SEP]嘿宝贝儿，快放假了吧？[SEP]不检索[SEP]有推荐的旅行的地方，想就近一点[SEP]广州附近旅游景点[SEP]唉这些地方我都去过了	中山市旅游景点
生活旅行[SEP]广东省茂名市[SEP]嘿宝贝儿，快放假了吧？[SEP]不检索[SEP]有推荐的旅行的地方，想就近一点[SEP]广州附近旅游景点[SEP]唉这些地方我都去过了[SEP]中山市旅游景点[SEP]在中山市吧？	不检索
生活旅行[SEP]广东省茂名市[SEP]嘿宝贝儿，快放假了吧？[SEP]不检索[SEP]有推荐的旅行的地方，想就近一点[SEP]广州附近旅游景点[SEP]唉这些地方我都去过了[SEP]中山市旅游景点[SEP]在中山市吧？[SEP]不检索[SEP]嗯，行，就去这个	不检索
学习工作专业计算机[SEP]宁夏回族自治区中卫市[SEP]计算机专业真挺难学的	不检索
学习工作专业计算机[SEP]宁夏回族自治区中卫市[SEP]计算机专业真挺难学的[SEP]不检索[SEP]要学的课程太多了，C++太难了	不检索
学习工作专业计算机[SEP]宁夏回族自治区中卫市[SEP]计算机专业真挺难学的[SEP]不检索[SEP]要学的课程太多了，C++太难了[SEP]不检索[SEP]厉害呀，你对C++了解的挺深呀，学计算机毕业以后只能当程序员嘛	不检索
学习工作专业计算机[SEP]宁夏回族自治区中卫市[SEP]计算机专业真挺难学的[SEP]不检索[SEP]要学的课程太多了，C++太难了[SEP]不检索[SEP]厉害呀，你对C++了解的挺深呀，学计算机毕业以后只能当程序员嘛[SEP]不检索[SEP]我也没想好，我对元宇宙研究还挺感兴趣的，不知道都需要哪些计算机知识	元宇宙技术
学习工作专业计算机[SEP]宁夏回族自治区中卫市[SEP]计算机专业真挺难学的[SEP]不检索[SEP]要学的课程太多了，C++太难了[SEP]不检索[SEP]厉害呀，你对C++了解的挺深呀，学计算机毕业以后只能当程序员嘛[SEP]不检索[SEP]我也没想好，我对元宇宙研究还挺感兴趣的，不知道都需要哪些计算机知识[SEP]元宇宙技术[SEP]我就是想读区块链方向的研究生，感觉很有意思	不检索
本地生活美食[SEP]云南省玉溪市[SEP]过两天表弟从老家过来	不检索
本地生活美食[SEP]云南省玉溪市[SEP]过两天表弟从老家过来[SEP]不检索[SEP]嗯，准备带他逛逛，有什么推荐的地方	云南省玉溪市景点
本地生活美食[SEP]云南省玉溪市[SEP]过两天表弟从老家过来[SEP]不检索[SEP]嗯，准备带他逛逛，有什么推荐的地方[SEP]云南省玉溪市景点[SEP]挺不错的，白天就去这两个地方	云南省玉溪市美食街
本地生活美食[SEP]云南省玉溪市[SEP]过两天表弟从老家过来[SEP]不检索[SEP]嗯，准备带他逛逛，有什么推荐的地方[SEP]云南省玉溪市景点[SEP]挺不错的，白天就去这两个地方[SEP]云南省玉溪市美食街[SEP]哇，我都没去过，正好带表弟一起去尝尝	不检索
本地生活美食[SEP]云南省玉溪市[SEP]过两天表弟从老家过来[SEP]不检索[SEP]嗯，准备带他逛逛，有什么推荐的地方[SEP]云南省玉溪市景点[SEP]挺不错的，白天就去这两个地方[SEP]云南省玉溪市美食街[SEP]哇，我都没去过，正好带表弟一起去尝尝[SEP]不检索[SEP]好的，谢谢了，你知道的可真多	不检索
泛娱乐明星赵丽颖[SEP]江西省赣州市[SEP]昨天晚上追《花千骨》追到十二点多，太好看了！	不检索
泛娱乐明星赵丽颖[SEP]江西省赣州市[SEP]昨天晚上追《花千骨》追到十二点多，太好看了！[SEP]不检索[SEP]你也喜欢赵丽颖吗？太巧了，我追她追了五六年了	不检索
泛娱乐明星赵丽颖[SEP]江西省赣州市[SEP]昨天晚上追《花千骨》追到十二点多，太好看了！[SEP]不检索[SEP]你也喜欢赵丽颖吗？太巧了，我追她追了五六年了[SEP]不检索[SEP]年龄大了就喜欢中国明星了，她一路走来很不容易，是个跑龙套的出身	赵丽颖
泛娱乐明星赵丽颖[SEP]江西省赣州市[SEP]昨天晚上追《花千骨》追到十二点多，太好看了！[SEP]不检索[SEP]你也喜欢赵丽颖吗？太巧了，我追她追了五六年了[SEP]不检索[SEP]年龄大了就喜欢中国明星了，她一路走来很不容易，是个跑龙套的出身[SEP]赵丽颖[SEP]你还没看过《陆贞传奇》里的赵丽颖，那个时候比现在还瘦呢	赵丽颖电视剧
泛娱乐明星赵丽颖[SEP]江西省赣州市[SEP]昨天晚上追《花千骨》追到十二点多，太好看了！[SEP]不检索[SEP]你也喜欢赵丽颖吗？太巧了，我追她追了五六年了[SEP]不检索[SEP]年龄大了就喜欢中国明星了，她一路走来很不容易，是个跑龙套的出身[SEP]赵丽颖[SEP]你还没看过《陆贞传奇》里的赵丽颖，那个时候比现在还瘦呢[SEP]赵丽颖电视剧[SEP]没想到你也是萤火虫啊，颖宝快过生日了，我这有两张门票，要不要跟我一起去她的生日会现场？	赵丽颖离婚
体育运动员武大靖[SEP]香港特别行政区葵青区[SEP]最近冬奥会正如火如荼的进行当中啊。	不检索
体育运动员武大靖[SEP]香港特别行政区葵青区[SEP]最近冬奥会正如火如荼的进行当中啊。[SEP]不检索[SEP]那你最喜欢哪个项目呢？	不检索
体育运动员武大靖[SEP]香港特别行政区葵青区[SEP]最近冬奥会正如火如荼的进行当中啊。[SEP]不检索[SEP]那你最喜欢哪个项目呢？[SEP]不检索[SEP]你说的这几个项目都很有意思，为什么最喜欢短道速滑呢？	不检索
体育运动员武大靖[SEP]香港特别行政区葵青区[SEP]最近冬奥会正如火如荼的进行当中啊。[SEP]不检索[SEP]那你最喜欢哪个项目呢？[SEP]不检索[SEP]你说的这几个项目都很有意思，为什么最喜欢短道速滑呢？[SEP]不检索[SEP]没错没错，那你最喜欢的运动员是哪位呢？	不检索
体育运动员武大靖[SEP]香港特别行政区葵青区[SEP]最近冬奥会正如火如荼的进行当中啊。[SEP]不检索[SEP]那你最喜欢哪个项目呢？[SEP]不检索[SEP]你说的这几个项目都很有意思，为什么最喜欢短道速滑呢？[SEP]不检索[SEP]没错没错，那你最喜欢的运动员是哪位呢？[SEP]不检索[SEP]我也有所耳闻，武大靖非常厉害。	不检索
时尚设计师[SEP]四川省遂宁市[SEP]最近正在看《成为香奈儿》，挺不错	不检索
时尚设计师[SEP]四川省遂宁市[SEP]最近正在看《成为香奈儿》，挺不错[SEP]不检索[SEP]这是本书，以传记的形式介绍香奈儿的一生	可可香奈儿
时尚设计师[SEP]四川省遂宁市[SEP]最近正在看《成为香奈儿》，挺不错[SEP]不检索[SEP]这是本书，以传记的形式介绍香奈儿的一生[SEP]可可香奈儿[SEP]是呢，她的设计风格就是简约优雅，我很喜欢呢	香奈儿包2.55
时尚设计师[SEP]四川省遂宁市[SEP]最近正在看《成为香奈儿》，挺不错[SEP]不检索[SEP]这是本书，以传记的形式介绍香奈儿的一生[SEP]可可香奈儿[SEP]是呢，她的设计风格就是简约优雅，我很喜欢呢[SEP]香奈儿包2.55[SEP]嗯嗯，我正在用她家的香水，也很好用呢	香奈儿5号
时尚设计师[SEP]四川省遂宁市[SEP]最近正在看《成为香奈儿》，挺不错[SEP]不检索[SEP]这是本书，以传记的形式介绍香奈儿的一生[SEP]可可香奈儿[SEP]是呢，她的设计风格就是简约优雅，我很喜欢呢[SEP]香奈儿包2.55[SEP]嗯嗯，我正在用她家的香水，也很好用呢[SEP]香奈儿5号[SEP]是呀，喷上去整个人的感觉都不一样了呢	不检索
泛娱乐演员[SEP]河南省新乡市[SEP]一整个寒假我都在家追剧，我可太喜欢看电视剧了	电视剧
泛娱乐演员[SEP]河南省新乡市[SEP]一整个寒假我都在家追剧，我可太喜欢看电视剧了[SEP]电视剧[SEP]我也看了《都挺好》，确实挺不错的，我听说郭京飞和姚晨还有一起搭档的戏，你知道吗	不检索
泛娱乐演员[SEP]河南省新乡市[SEP]一整个寒假我都在家追剧，我可太喜欢看电视剧了[SEP]电视剧[SEP]我也看了《都挺好》，确实挺不错的，我听说郭京飞和姚晨还有一起搭档的戏，你知道吗[SEP]不检索[SEP]《山海情》？没看过，有他俩的话我感觉这部剧应该挺有意思的	山海情
泛娱乐演员[SEP]河南省新乡市[SEP]一整个寒假我都在家追剧，我可太喜欢看电视剧了[SEP]电视剧[SEP]我也看了《都挺好》，确实挺不错的，我听说郭京飞和姚晨还有一起搭档的戏，你知道吗[SEP]不检索[SEP]《山海情》？没看过，有他俩的话我感觉这部剧应该挺有意思的[SEP]山海情[SEP]听着很有意思，导演是谁啊	山海情导演
泛娱乐演员[SEP]河南省新乡市[SEP]一整个寒假我都在家追剧，我可太喜欢看电视剧了[SEP]电视剧[SEP]我也看了《都挺好》，确实挺不错的，我听说郭京飞和姚晨还有一起搭档的戏，你知道吗[SEP]不检索[SEP]《山海情》？没看过，有他俩的话我感觉这部剧应该挺有意思的[SEP]山海情[SEP]听着很有意思，导演是谁啊[SEP]山海情导演[SEP]孔笙？是那个琅琊榜的导演吗	孔笙作品
生活恋爱失恋[SEP]河北省石家庄市[SEP]哎，我失恋了。好难过	不检索
生活恋爱失恋[SEP]河北省石家庄市[SEP]哎，我失恋了。好难过[SEP]不检索[SEP]才发现我们三观不合，对未来的规划也不一样	走出失恋的好方法
生活恋爱失恋[SEP]河北省石家庄市[SEP]哎，我失恋了。好难过[SEP]不检索[SEP]才发现我们三观不合，对未来的规划也不一样[SEP]走出失恋的好方法[SEP]有你真好，不过我现在不想出去，感觉太累了，做什么都没有兴趣	朋友失恋了怎么安慰她
生活恋爱失恋[SEP]河北省石家庄市[SEP]哎，我失恋了。好难过[SEP]不检索[SEP]才发现我们三观不合，对未来的规划也不一样[SEP]走出失恋的好方法[SEP]有你真好，不过我现在不想出去，感觉太累了，做什么都没有兴趣[SEP]朋友失恋了怎么安慰她[SEP]嗯呐，给我一段时间。我会努力让自己走出来的~	不检索
生活恋爱失恋[SEP]河北省石家庄市[SEP]哎，我失恋了。好难过[SEP]不检索[SEP]才发现我们三观不合，对未来的规划也不一样[SEP]走出失恋的好方法[SEP]有你真好，不过我现在不想出去，感觉太累了，做什么都没有兴趣[SEP]朋友失恋了怎么安慰她[SEP]嗯呐，给我一段时间。我会努力让自己走出来的~[SEP]不检索[SEP]等过一段时间，我就要努力工作了。先搞事业最重要！	不检索
本地生活景点圆明园[SEP]湖北省黄石市[SEP]我今天去圆明园游览了，里面真大呀	圆明园面积
本地生活景点圆明园[SEP]湖北省黄石市[SEP]我今天去圆明园游览了，里面真大呀[SEP]圆明园面积[SEP]哇这么大呀，我根本都没有转完。不过里面很多东西都是被毁坏的样子	圆明园被破坏的原因
